,0
799,42
800,42
801,42
802,42
803,42
804,42
805,42
806,41
807,41
808,41
809,41
810,41
811,41
812,41
813,41
814,41
815,41
816,41
817,41
818,41
819,40
820,40
821,40
822,40
823,40
824,40
825,40
826,40
827,40
828,40
829,40
830,40
831,39
832,39
833,39
834,39
835,39
836,39
837,39
838,39
839,39
840,39
841,39
842,39
843,38
844,38
845,38
846,38
847,38
848,37
849,37
850,37
851,37
852,37
853,37
854,37
855,37
856,37
857,36
858,36
859,36
860,36
861,36
862,36
863,36
864,36
865,35
866,35
867,35
868,34
869,34
870,34
871,34
872,34
873,34
874,34
875,34
876,34
877,34
878,34
879,33
880,32
881,32
882,32
883,32
884,32
885,32
886,32
887,32
888,32
889,32
890,32
891,32
892,31
893,31
894,31
895,31
896,31
897,31
898,31
899,30
900,30
901,30
902,30
903,30
904,29
905,29
906,29
907,28
908,28
909,28
910,28
911,28
912,28
913,27
914,26
915,26
916,25
917,25
918,25
919,24
920,24
921,24
922,24
923,24
924,24
925,24
926,24
927,24
928,24
929,24
930,24
931,24
932,24
933,24
934,24
935,24
936,24
937,24
938,24
939,24
940,24
941,24
942,24
943,24
944,24
945,24
946,24
947,24
948,24
949,24
950,24
951,24
952,24
953,24
954,24
955,24
956,24
957,24
958,24
959,24
960,24
961,24
962,24
963,24
964,24
965,24
966,24
967,24
968,24
969,24
970,24
971,24
972,24
973,24
974,24
975,24
976,24
977,24
978,24
979,24
980,24
981,24
982,24
983,24
984,24
985,24
986,24
987,24
988,24
989,24
990,24
991,24
992,24
993,24
994,24
995,24
996,24
997,24
998,24
999,24
